datetime,humidity_pct
2024-03-25 14:00:00,49.40819
2024-03-25 14:00:00,15.699827
2024-03-25 14:00:00,68.84453
2024-03-25 14:00:00,14.305014
2024-03-25 14:00:00,17.139027
2024-03-25 14:00:00,29.968721
2024-03-25 14:00:00,24.394835
2024-03-25 14:00:00,26.73094
2024-03-25 14:00:00,20.095322
2024-03-25 14:00:00,63.386566
2024-03-25 14:00:00,18.037066
2024-03-25 14:00:00,17.861055
2024-03-25 14:00:00,59.457256
2024-03-25 14:00:00,32.370975
2024-03-25 14:00:00,19.826376
2024-03-25 14:00:00,50.188004
2024-03-25 14:00:00,16.099611
2024-03-25 14:00:00,16.445812
2024-03-25 14:00:00,21.278679
2024-03-25 14:00:00,15.839033
2024-03-25 14:00:00,25.665892
2024-03-25 14:00:00,66.761086
2024-03-25 14:00:00,21.241932
2024-03-25 14:00:00,40.375664
2024-03-25 14:00:00,34.83576
2024-03-25 14:00:00,18.484293
2024-03-25 14:00:00,29.968004
2024-03-25 14:00:00,53.03976
2024-03-25 14:00:00,45.4941
2024-03-25 14:00:00,48.69054
2024-03-25 14:00:00,21.14614
2024-03-25 15:00:00,35.764763
2024-03-25 15:00:00,57.35234
2024-03-25 15:00:00,39.27994
2024-03-25 15:00:00,53.5515
2024-03-25 15:00:00,18.172913
2024-03-25 15:00:00,51.90728
2024-03-25 15:00:00,17.227446
2024-03-25 15:00:00,70.36643
2024-03-25 15:00:00,28.60763
2024-03-25 15:00:00,14.096687
2024-03-25 15:00:00,30.08643
2024-03-25 15:00:00,40.834225
2024-03-25 15:00:00,49.216312
2024-03-25 15:00:00,19.333702
2024-03-25 15:00:00,16.068739
2024-03-25 15:00:00,69.15918
2024-03-25 15:00:00,61.899517
2024-03-25 15:00:00,25.91769
2024-03-25 15:00:00,23.553776
2024-03-25 15:00:00,15.250037
2024-03-25 15:00:00,15.322094
2024-03-25 15:00:00,69.26038
2024-03-25 15:00:00,17.068916
2024-03-25 15:00:00,53.53617
2024-03-25 15:00:00,24.787941
2024-03-25 15:00:00,15.559352
2024-03-25 15:00:00,19.192928
2024-03-25 15:00:00,16.523949
2024-03-25 15:00:00,19.00424
2024-03-25 15:00:00,20.24839
2024-03-25 15:00:00,21.108969
2024-03-25 16:00:00,29.325874
2024-03-25 16:00:00,24.148148
2024-03-25 16:00:00,15.129947
2024-03-25 16:00:00,21.24756
2024-03-25 16:00:00,75.53671
2024-03-25 16:00:00,19.333702
2024-03-25 16:00:00,31.790668
2024-03-25 16:00:00,18.2951
2024-03-25 16:00:00,15.72877
2024-03-25 16:00:00,73.706154
2024-03-25 16:00:00,45.561398
2024-03-25 16:00:00,25.40694
2024-03-25 16:00:00,42.786987
2024-03-25 16:00:00,56.201447
2024-03-25 16:00:00,58.127087
2024-03-25 16:00:00,15.710273
2024-03-25 16:00:00,18.362688
2024-03-25 16:00:00,18.545334
2024-03-25 16:00:00,26.632826
2024-03-25 16:00:00,17.422522
2024-03-25 16:00:00,17.84286
2024-03-25 16:00:00,16.671963
2024-03-25 16:00:00,62.8985
2024-03-25 16:00:00,74.03746
2024-03-25 16:00:00,14.309398
2024-03-25 16:00:00,40.934177
2024-03-25 16:00:00,65.195595
2024-03-25 16:00:00,16.231266
2024-03-25 16:00:00,64.13585
2024-03-25 16:00:00,53.289837
2024-03-25 16:00:00,18.234816
2024-03-25 17:00:00,15.58565
2024-03-25 17:00:00,72.38902
2024-03-25 17:00:00,68.85546
2024-03-25 17:00:00,61.767696
2024-03-25 17:00:00,21.88744
2024-03-25 17:00:00,28.85881
2024-03-25 17:00:00,20.593273
2024-03-25 17:00:00,23.671804
2024-03-25 17:00:00,19.20303
2024-03-25 17:00:00,39.523514
2024-03-25 17:00:00,27.341757
2024-03-25 17:00:00,65.528595
2024-03-25 17:00:00,53.989162
2024-03-25 17:00:00,26.740915
2024-03-25 17:00:00,43.855152
2024-03-25 17:00:00,18.214584
2024-03-25 17:00:00,19.204958
2024-03-25 17:00:00,15.176679
2024-03-25 17:00:00,83.373055
2024-03-25 17:00:00,14.902336
2024-03-25 17:00:00,72.20624
2024-03-25 17:00:00,16.557297
2024-03-25 17:00:00,17.601822
2024-03-25 17:00:00,79.76689
2024-03-25 17:00:00,61.468056
2024-03-25 17:00:00,66.47116
2024-03-25 17:00:00,19.693348
2024-03-25 17:00:00,19.922714
2024-03-25 17:00:00,16.231554
2024-03-25 17:00:00,59.040062
2024-03-25 17:00:00,55.73576
2024-03-25 18:00:00,43.498173
2024-03-25 18:00:00,73.875374
2024-03-25 18:00:00,24.11182
2024-03-25 18:00:00,55.750416
2024-03-25 18:00:00,73.75353
2024-03-25 18:00:00,22.381384
2024-03-25 18:00:00,36.36466
2024-03-25 18:00:00,69.340164
2024-03-25 18:00:00,23.707006
2024-03-25 18:00:00,23.251764
2024-03-25 18:00:00,16.299566
2024-03-25 18:00:00,71.040306
2024-03-25 18:00:00,71.47992
2024-03-25 18:00:00,73.185555
2024-03-25 18:00:00,19.41626
2024-03-25 18:00:00,45.021614
2024-03-25 18:00:00,27.148693
2024-03-25 18:00:00,81.58848
2024-03-25 18:00:00,18.59071
2024-03-25 18:00:00,24.44092
2024-03-25 18:00:00,17.047077
2024-03-25 18:00:00,47.197384
2024-03-25 18:00:00,13.529215
2024-03-25 18:00:00,25.075975
2024-03-25 18:00:00,69.25957
2024-03-25 18:00:00,35.043034
2024-03-25 18:00:00,83.251595
2024-03-25 18:00:00,25.209538
2024-03-25 18:00:00,65.43737
2024-03-25 18:00:00,24.415035
2024-03-25 18:00:00,24.758102
2024-03-25 19:00:00,77.398674
2024-03-25 19:00:00,27.180838
2024-03-25 19:00:00,68.93099
2024-03-25 19:00:00,76.92469
2024-03-25 19:00:00,68.623
2024-03-25 19:00:00,67.07788
2024-03-25 19:00:00,32.984753
2024-03-25 19:00:00,20.60943
2024-03-25 19:00:00,22.940838
2024-03-25 19:00:00,28.417284
2024-03-25 19:00:00,20.171043
2024-03-25 19:00:00,46.07463
2024-03-25 19:00:00,29.218855
2024-03-25 19:00:00,45.596394
2024-03-25 19:00:00,94.84221
2024-03-25 19:00:00,20.394613
2024-03-25 19:00:00,19.647402
2024-03-25 19:00:00,75.014046
2024-03-25 19:00:00,57.912537
2024-03-25 19:00:00,30.395445
2024-03-25 19:00:00,27.19349
2024-03-25 19:00:00,27.505363
2024-03-25 19:00:00,23.755396
2024-03-25 19:00:00,25.987028
2024-03-25 19:00:00,76.05819
2024-03-25 19:00:00,24.829456
